pod_institution,marc_code,oclc_code,registry_name,registry_url
harvard,,HMM,"Harvard University, Wadsworth House",https://registry.worldcat.org/registry/Institutions/132934
harvard,,HMR,Harvard University — Murray Research Center,https://registry.worldcat.org/registry/Institutions/3737
harvard,,HMS,"Harvard University — Medical School, Countway Library",https://registry.worldcat.org/registry/Institutions/4745
harvard,,HMU,Harvard University — Loeb Music Library,https://registry.worldcat.org/registry/Institutions/3752
harvard,,HMZ,Harvard University — Ernst Mayr Library of the Museum of Comparative Zoology and Harvard Botany Libraries,https://registry.worldcat.org/registry/Institutions/3748
harvard,,HRA,Harvard University — Archives,https://registry.worldcat.org/registry/Institutions/3741
harvard,,HTV,The Harvard University Center for Italian Renaissance Studies. Biblioteca Berenson - Villa I Tatti — Biblioteca Berenson - Villa I Tatti,https://registry.worldcat.org/registry/Institutions/89973
harvard,,HUL,Harvard University — Harvard Library,https://registry.worldcat.org/registry/Institutions/73876
harvard,,HUPRS,Harvard University Press — Loeb Classical Library,https://registry.worldcat.org/registry/Institutions/148532
harvard,,HVL,Harvard Law School Library — HLS Library,https://registry.worldcat.org/registry/Institutions/3744
harvard,ItFB,,The Harvard University Center for Italian Renaissance Studies. Biblioteca Berenson - Villa I Tatti — Biblioteca Berenson - Villa I Tatti,https://registry.worldcat.org/registry/Institutions/89973
harvard,,KSG,Harvard University — John F. Kennedy School of Government Library,https://registry.worldcat.org/registry/Institutions/4754
harvard,,LH$,"Harvard University, Hilles Library",https://registry.worldcat.org/registry/Institutions/3740
harvard,,MAMES,"Harvard University, Center Middle Eastern Studies",https://registry.worldcat.org/registry/Institutions/73908
harvard,MBCo,,"Harvard University — Medical School, Countway Library",https://registry.worldcat.org/registry/Institutions/4745
harvard,MCR-S,,Harvard University — Schlesinger Library,https://registry.worldcat.org/registry/Institutions/3738
harvard,,MCS,Harvard University — Arnold Arboretum,https://registry.worldcat.org/registry/Institutions/4753
harvard,MH,,"Harvard University, Library Technology Services",https://registry.worldcat.org/registry/Institutions/3742
harvard,MH-A,,Harvard University — Arnold Arboretum,https://registry.worldcat.org/registry/Institutions/4753
harvard,MH-AH,,Harvard University — Harvard Divinity School Library,https://registry.worldcat.org/registry/Institutions/89199
harvard,MH-Ar,,Harvard University — Archives,https://registry.worldcat.org/registry/Institutions/3741
harvard,MH-CS,,Harvard University — Cabot Science Library,https://registry.worldcat.org/registry/Institutions/4755
harvard,MH-Ed,,"Harvard University — Education School, Gutman Library",https://registry.worldcat.org/registry/Institutions/4757
harvard,MH-FA,,"Harvard University — Fine Arts Library, Harvard University",https://registry.worldcat.org/registry/Institutions/3736
harvard,MH-H,,Harvard University — Houghton Library,https://registry.worldcat.org/registry/Institutions/89201
harvard,MH-KG,,Harvard University — John F. Kennedy School of Government Library,https://registry.worldcat.org/registry/Institutions/4754
harvard,MH-L,,Harvard Law School Library — HLS Library,https://registry.worldcat.org/registry/Institutions/3744
harvard,MH-Mu,,Harvard University — Loeb Music Library,https://registry.worldcat.org/registry/Institutions/3752
harvard,MH-P,,Harvard University — Tozzer Library,https://registry.worldcat.org/registry/Institutions/4752
harvard,MH-SD,,Harvard University — Frances Loeb Library,https://registry.worldcat.org/registry/Institutions/89198
harvard,MH-Z,,Harvard University — Ernst Mayr Library of the Museum of Comparative Zoology and Harvard Botany Libraries,https://registry.worldcat.org/registry/Institutions/3748
harvard,,MHUAM,Harvard University Art Museum,https://registry.worldcat.org/registry/Institutions/100400
harvard,,SLR,Harvard University — Schlesinger Library,https://registry.worldcat.org/registry/Institutions/3738
harvard,,SYS,"Harvard University, Library Technology Services",https://registry.worldcat.org/registry/Institutions/3742
harvard,,TOZ,Harvard University — Tozzer Library,https://registry.worldcat.org/registry/Institutions/4752
jhu,,J2H,"Johns Hopkins University, SAIS Europe — Robert H. Evans Library, SAIS Europe",https://registry.worldcat.org/registry/Institutions/74059
jhu,,J5M,"Johns Hopkins University, Montgomery County Center",https://registry.worldcat.org/registry/Institutions/4989
jhu,,JHA,"Johns Hopkins University, Applied Physics Lab — JHU/APL",https://registry.worldcat.org/registry/Institutions/4984
jhu,,JHE,Johns Hopkins University — Sheridan Libraries and the Milton S. Eisenhower Library,https://registry.worldcat.org/registry/Institutions/1278
jhu,,JHP,Peabody Institute of the Johns Hopkins University,https://cmc.wp.musiclibraryassoc.org/wp-content/uploads/sites/5/2024/03/BIBCO-Music-Funnel-Directory-240207.pdf
jhu,,JHUPR,Johns Hopkins University Press,https://registry.worldcat.org/registry/Institutions/40612
jhu,MdBJ,,Johns Hopkins University — Sheridan Libraries and the Milton S. Eisenhower Library,https://registry.worldcat.org/registry/Institutions/1278
jhu,MdBJ-A,,"Johns Hopkins University, Applied Physics Lab — JHU/APL",https://registry.worldcat.org/registry/Institutions/4984
jhu,MdBmJPML,,"Arthur Friedheim Music Library, Peabody Institute of The Johns Hopkins University",https://id.loc.gov/vocabulary/organizations/mdbmjpml
jhu,MdBPC,,Peabody Conservatory of Music,https://id.loc.gov/vocabulary/organizations/mdbpc
mit,,B30,MIT Press Journals,https://registry.worldcat.org/registry/Institutions/40556
mit,,INMIT,MIT College of Engineering,https://registry.worldcat.org/registry/Institutions/130429
mit,,LIN,MIT Lincoln Laboratory — Massachusetts Institute of Technology Lincoln Laboratory,https://registry.worldcat.org/registry/Institutions/4767
mit,,MAMIT,MIT Alumni Association,https://registry.worldcat.org/registry/Institutions/144483
mit,MCM,,MIT Libraries — Massachusetts Institute of Technology Libraries,https://registry.worldcat.org/registry/Institutions/110366
mit,,MITPR,MIT Press,https://registry.worldcat.org/registry/Institutions/29868
